name,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
SAS® Viya® (Pay-As-You-Go),https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sas-institute-560503.sas-viya-on-azure?exp=ubp8&tab=Overview,588,774,186,1.3
Statsig,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/statsiginc1610354169520.statsig?exp=ubp8&tab=Overview,39,48,9,1.2
Haptik,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/jioplatformslimited1657086280629.haptik?exp=ubp8&tab=Overview,121,145,24,1.2
Acodis IDP Platform,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/acodisag1652787179843.apf2206?exp=ubp8&tab=Overview,20,24,4,1.2
Azure Databricks,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/Microsoft.Databricks?exp=ubp8&tab=Overview,330,389,59,1.2
ArangoDB - the multi-model NoSQL database,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/arangodb.arangodb?exp=ubp8&tab=Overview,73,85,12,1.2
Pobuca Loyalty,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/pobuca.pobucaloyalty?exp=ubp8&tab=Overview,6,7,1,1.2
Alteryx APA Platform,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/alteryx.alteryx-analytics-platform?exp=ubp8&tab=Overview,385,443,58,1.2
BMC Helix on Microsoft Azure,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/bmcsoftware.bmchelix?exp=ubp8&tab=Overview,13,15,2,1.2
StackState,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/xebia-middle-east.ss001?exp=ubp8&tab=Overview,22,27,5,1.2
Adrenalin HCM,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/adrenalinesystemslimited-1160943.adrenalinhcm?exp=ubp8&tab=Overview,11,13,2,1.2
PHEMI Trustworthy Health DataLab,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/phemi-systems-corp.phemi_datalab?exp=ubp8&tab=Overview,5,6,1,1.2
SKU Assortment Optimization,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/neal_analytics.8066ad01-1e61-40cd-bd33-9b86c65fa73a?exp=ubp8&tab=Overview,5,6,1,1.2
Acterys Planning & Analytics For Power BI & Excel,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/managility.acterysfpa?exp=ubp8&tab=Overview,46,54,8,1.2
ClicData,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/clicdata.clicdata-business-intelligence-software?exp=ubp8&tab=Overview,29,35,6,1.2
